speaker,appearances,mean_score,median_score,score_sd,score_min,score_max,score_range,mean_opponent_score,mean_margin,closed_appearances,standalone_appearances,ranking_value,rank,margin_rank,generation_adjusted_mean,generation_adjusted_rank,shrinkage_weight,shrunken_mean,shrunken_rank,bootstrap_mean_ci_95,bootstrap_rank_ci_95,bootstrap_rank_median,bootstrap_top_10_probability,hierarchical_mean,hierarchical_mean_sd,hierarchical_rank_ci_95,hierarchical_rank_median,hierarchical_top_10_probability,base_rank,leave_one_out_min_rank,leave_one_out_max_rank,leave_one_out_span,leave_one_out_max_absolute_shift
William Lane Craig,24,79.5,79.5,3.4891135039545875,74,86,12,82.95833333333333,-3.4583333333333335,21,3,79.5,28,28,79.40319428340536,29,0.9729597202731423,79.55500793366818,29,"[78.125, 80.875]","[22.0, 33.0]",28.0,0.0,79.55500793366818,0.6298922267590873,"[22.0, 33.0]",28.0,0.0,28,28,29,1,1
Tom Jump,3,79.33333333333333,80,1.1547005383792515,78,80,2,81.0,-1.6666666666666667,2,1,79.33333333333333,29,25,79.89431005000995,25,0.8181068531783316,79.73367336406358,28,"[78.0, 80.0]","[25.0, 33.0]",29.0,0.0,79.73367336406358,1.6336869021925542,"[13.0, 37.0]",28.0,0.004,29,28,30,2,1
David Wood,4,79.0,80.0,4.320493798938574,73,83,10,83.25,-4.25,4,0,79.0,30,30,78.5085248234426,30,0.8570811500440955,79.36219867389546,30,"[75.0, 82.0]","[16.0, 38.0]",30.0,0.0,79.36219867389546,1.4481228800643096,"[15.0, 37.0]",29.0,0.00095,30,19,33,14,11
Jonathan McLatchie,4,78.75,79.0,3.774917217635375,74,83,9,83.0,-4.25,4,0,78.75,31,31,78.2585248234426,31,0.8570811500440955,79.14792838638445,32,"[75.5, 81.75]","[17.0, 37.0]",31.0,0.0,79.14792838638445,1.4481228800643096,"[17.0, 37.0]",30.0,0.0007,31,25,34,9,6
Richard Swinburne,3,78.66666666666667,80,3.2145502536643185,75,81,6,85.33333333333333,-6.666666666666667,3,0,78.66666666666667,32,35,78.17519149010927,33,0.8181068531783316,79.18826879527802,31,"[75.0, 81.0]","[21.0, 38.0]",31.0,0.0,79.18826879527802,1.6336869021925542,"[15.0, 38.0]",30.0,0.0015,32,25,34,9,7
Glen Scrivener,4,78.0,78.5,3.1622776601683795,74,81,7,85.5,-7.5,4,0,78.0,33,38,77.5085248234426,35,0.8570811500440955,78.50511752385137,33,"[75.5, 80.5]","[23.0, 38.0]",32.0,0.0,78.50511752385137,1.4481228800643096,"[20.0, 39.0]",32.0,0.0,33,29,35,6,4
Ross Douthat,3,77.66666666666667,80,7.767453465154029,69,84,15,85.0,-7.333333333333333,2,1,77.66666666666667,34,36,78.22764338334328,32,0.8181068531783316,78.3701619420997,34,"[69.0, 84.0]","[12.0, 42.0]",33.0,0.0085,78.3701619420997,1.6336869021925542,"[19.0, 40.0]",32.0,0.00035,34,16,40,24,18
John Lennox,9,77.11111111111111,76,3.3333333333333335,72,84,12,80.44444444444444,-3.3333333333333335,7,2,77.11111111111111,35,27,77.32127053004305,36,0.931002123847899,77.41630147626523,35,"[75.22222222222223, 79.33333333333333]","[29.0, 38.0]",34.0,0.0,77.41630147626523,1.0061865792862084,"[29.0, 39.0]",35.0,0.0,35,34,36,2,1
Trent Horn,6,76.83333333333333,77.5,3.8686776379877745,71,82,11,81.83333333333333,-5.0,3,3,76.83333333333333,36,32,77.92053599662695,34,0.8999546443028411,77.30364281832846,36,"[74.0, 79.5]","[28.0, 40.0]",35.0,0.0,77.30364281832846,1.2115996110818026,"[28.0, 40.0]",35.0,0.0,36,34,36,2,2
Dinesh D'Souza,6,75.5,75.5,2.6645825188948455,71,79,8,84.83333333333333,-9.333333333333334,5,1,75.5,37,40,75.5347507700596,39,0.8999546443028411,76.10370329259133,38,"[73.33333333333333, 77.33333333333333]","[34.0, 41.0]",37.0,0.0,76.10370329259133,1.2115996110818026,"[32.0, 42.0]",38.0,0.0,37,37,39,2,2
Michael Jones,10,75.1,75.0,3.8427420765212266,69,80,11,82.5,-7.4,9,1,75.1,38,37,74.9242603914128,40,0.9374704709932836,75.5023335001757,40,"[72.8, 77.3]","[34.0, 42.0]",38.0,0.0,75.5023335001757,0.9578626467842922,"[35.0, 42.0]",39.0,0.0,38,37,40,3,2
Alister McGrath,3,75.0,73,4.358898943540674,72,80,8,80.0,-5.0,1,2,75.0,39,33,76.61342860991063,37,0.8181068531783316,76.18854366695747,37,"[72.0, 80.0]","[27.0, 42.0]",38.0,0.0,76.18854366695747,1.6336869021925542,"[29.0, 42.0]",38.0,0.0,39,37,42,5,3
Jordan Peterson,5,74.8,74,1.9235384061671346,73,78,5,84.4,-9.6,3,2,74.8,40,41,75.57146709532341,38,0.8823006282655114,75.59262241167333,39,"[73.6, 76.4]","[35.0, 41.0]",39.0,0.0,75.59262241167333,1.31415844805185,"[33.0, 42.0]",39.0,0.0,40,38,41,3,2
Frank Turek,7,74.14285714285714,74,2.4784787961282104,70,77,7,82.28571428571429,-8.142857142857142,7,0,74.14285714285714,41,39,73.65138196629974,41,0.9130034666708156,74.78588670225574,41,"[72.28571428571429, 75.71428571428571]","[37.0, 42.0]",40.0,0.0,74.78588670225574,1.1298261763392161,"[36.0, 42.0]",41.0,0.0,41,40,41,1,1
Peter Atkins,4,73.0,72.5,2.943920288775949,70,77,7,82.75,-9.75,4,0,73.0,42,42,72.5085248234426,42,0.8570811500440955,74.21971177363089,42,"[70.75, 75.75]","[37.0, 42.0]",42.0,0.0,74.21971177363089,1.4481228800643096,"[36.0, 42.0]",41.0,0.0,42,42,42,0,0
