speaker,rank,n,mean,sd,earlier_n,later_n,empirical_mean_ci,empirical_rank_ci,model_mean,model_rank_ci,model_top10,leave_one_out,paired_resample_rank_ci,generation_centered_rank
Gregory Pine,41,3,76.0,2.6457513110645907,2,1,"[74.0, 79.0]","[33.0, 46.0]",76.83441192913517,"[28.0, 48.0]",5e-05,"[39.0, 45.0]","[34.0, 46.0]",41.0
Dinesh D'Souza,42,6,75.5,2.6645825188948455,5,1,"[73.33333333333333, 77.33333333333333]","[37.0, 47.0]",75.99931141250832,"[35.0, 48.0]",0.0,"[41.0, 45.0]","[37.0, 47.0]",45.0
Keith Ward,43,3,75.33333333333333,5.033222956847166,2,1,"[70.0, 80.0]","[29.0, 50.0]",76.27729462737855,"[31.0, 49.0]",0.0,"[35.0, 47.5]","[32.0, 50.0]",42.0
Michael Jones,44,12,74.83333333333333,3.537676004830221,9,3,"[72.91666666666667, 76.75]","[38.5, 48.0]",75.12592391410527,"[40.0, 49.0]",0.0,"[43.0, 45.0]","[39.0, 48.0]",46.0
Jordan Peterson,45,6,74.83333333333333,1.7224014243685082,3,3,"[73.66666666666667, 76.16666666666667]","[40.0, 47.0]",75.39232268886467,"[37.0, 49.0]",0.0,"[44.0, 45.0]","[40.0, 47.0]",43.0
Frank Turek,46,7,74.14285714285714,2.4784787961282104,7,0,"[72.28571428571429, 75.71428571428571]","[41.0, 49.0]",74.6818631538563,"[40.0, 50.0]",0.0,"[45.0, 47.0]","[41.0, 49.0]",47.0
Alister McGrath,47,4,74.0,4.08248290463863,1,3,"[71.5, 78.0]","[35.0, 50.0]",74.90966497553033,"[37.0, 50.0]",0.0,"[44.0, 49.5]","[36.0, 50.0]",44.0
Peter Atkins,48,4,73.0,2.943920288775949,4,0,"[70.75, 75.75]","[42.0, 50.0]",74.03818786124403,"[40.0, 50.0]",0.0,"[47.5, 50.0]","[42.0, 50.0]",50.0
Matt Slick,49,3,72.33333333333333,2.0816659994661326,2,1,"[70.0, 74.0]","[46.0, 50.0]",73.77026676947375,"[40.0, 50.0]",0.0,"[48.0, 50.0]","[46.0, 50.0]",49.0
Eric Hernandez,50,4,72.0,2.8284271247461903,1,3,"[69.5, 74.0]","[45.5, 50.0]",73.16671074695769,"[43.0, 50.0]",0.0,"[48.0, 50.0]","[46.0, 50.0]",48.0
